,mean,std,dense,dropout,batch_size,mean_test_score,mean error
АСТ_COBAS,20.7031914893617,5.639138751611727,256.0,0.2,16.0,2.4968393802642823,1.5801390382698233
АЛТ_COBAS,18.755434782608692,8.629652901121842,256.0,0.2,32.0,8.990935707092286,2.998488903946834
АМИЛАЗА_ПАНКРЕАТИЧЕСКАЯ_COBAS,25.68421052631579,10.34031668387419,128.0,0.4,16.0,5.057762718200683,2.248947024320645
БЕЛОК_ОБЩИЙ_СЫВ_COBAS,71.30631578947366,3.983842641593975,128.0,0.2,16.0,2.4157760620117186,1.5542767005947553
БИЛИРУБИН_ОБЩИЙ_2_COBAS,10.413404255319147,5.3018030646012875,256.0,0.2,16.0,2.421951961517334,1.5562621763434765
КАЛЬЦИЙ_СЫВ_COBAS,2.3746391752577325,0.08321735916249316,128.0,0.2,16.0,0.0025521171861328,0.05051848360880204
ХОЛЕСТЕРОЛ_ОБЩИЙ_COBAS,5.051237113402063,1.1241814223135493,256.0,0.2,32.0,478.42291259765625,21.87288075671918
ЖЕЛЕЗО_СЫВ_COBAS,16.470412371134017,7.450066403161251,128.0,0.2,32.0,1.3315380334854126,1.1539228888818405
ГАММА-ГТ_COBAS,23.762886597938145,18.589184353114828,128.0,0.4,32.0,60.77435455322266,7.795790822823728
МОЧЕВАЯ_КИСЛОТА_СЫВ_COBAS,298.74917525773185,95.10340259280622,256.0,0.4,16.0,485.3720764160156,22.031161485859425
